sexe,prenom,annee,naissances
1,_TOTAL,1943,290910
1,_TOTAL,1945,297095
1,_TOTAL,1946,443135
1,_TOTAL,1947,456945
1,_TOTAL,1950,451305
1,_TOTAL,1951,433485
1,_TOTAL,1952,432120
1,_TOTAL,1953,423365
1,_TOTAL,1954,427190
1,_TOTAL,1955,423585
1,_TOTAL,1957,429540
1,_TOTAL,1958,427140
1,_TOTAL,1960,432355
1,_TOTAL,1961,441235
1,_TOTAL,1962,438665
1,_TOTAL,1963,456990
1,_TOTAL,1964,462415
1,_TOTAL,1965,456205
1,_TOTAL,1966,455060
1,_TOTAL,1967,442425
1,_TOTAL,1968,439900
1,_TOTAL,1969,442230
1,_TOTAL,1970,446525
1,_TOTAL,1971,461890
1,_TOTAL,1972,459900
1,_TOTAL,1973,448000
1,_TOTAL,1974,418780
1,_TOTAL,1975,388325
1,_TOTAL,1976,374095
1,_TOTAL,1977,386010
1,_TOTAL,1978,380885
1,_TOTAL,1979,391565
1,_TOTAL,1980,413090
1,_TOTAL,1981,415295
1,_TOTAL,1982,410765
1,_TOTAL,1983,385795
1,_TOTAL,1984,391325
1,_TOTAL,1985,396080
1,_TOTAL,1986,400635
1,_TOTAL,1987,395375
1,_TOTAL,1988,397850
1,_TOTAL,1989,394785
1,_TOTAL,1990,394405
1,_TOTAL,1991,392205
1,_TOTAL,1992,384075
1,_TOTAL,1993,366175
1,_TOTAL,1994,365530
1,_TOTAL,1995,374020
1,_TOTAL,1996,377605
1,_TOTAL,1997,374370
1,_TOTAL,1998,378705
1,_TOTAL,1999,383190
1,_TOTAL,2000,399880
1,_TOTAL,2001,394335
1,_TOTAL,2002,389520
1,_TOTAL,2003,386810
1,_TOTAL,2004,389980
1,_TOTAL,2005,392220
2,_TOTAL,1943,284055
2,_TOTAL,1945,291625
2,_TOTAL,1946,420130
2,_TOTAL,1947,433125
2,_TOTAL,1950,430345
2,_TOTAL,1951,413230
2,_TOTAL,1952,412090
2,_TOTAL,1953,404015
2,_TOTAL,1954,406665
2,_TOTAL,1955,406205
2,_TOTAL,1957,410610
2,_TOTAL,1958,409365
2,_TOTAL,1960,412475
2,_TOTAL,1961,422145
2,_TOTAL,1962,419865
2,_TOTAL,1963,437950
2,_TOTAL,1964,441595
2,_TOTAL,1965,435985
2,_TOTAL,1966,434800
2,_TOTAL,1967,422425
2,_TOTAL,1968,420370
2,_TOTAL,1969,421950
2,_TOTAL,1970,423645
2,_TOTAL,1971,439465
2,_TOTAL,1972,436095
2,_TOTAL,1973,425475
2,_TOTAL,1974,397580
2,_TOTAL,1975,369905
2,_TOTAL,1976,356085
2,_TOTAL,1977,366235
2,_TOTAL,1978,362050
2,_TOTAL,1979,372115
2,_TOTAL,1980,393070
2,_TOTAL,1981,394280
2,_TOTAL,1982,390205
2,_TOTAL,1983,367305
2,_TOTAL,1984,373490
2,_TOTAL,1985,377290
2,_TOTAL,1986,381325
2,_TOTAL,1987,376860
2,_TOTAL,1988,378335
2,_TOTAL,1989,376770
2,_TOTAL,1990,373905
2,_TOTAL,1991,372715
2,_TOTAL,1992,364085
2,_TOTAL,1993,348010
2,_TOTAL,1994,347240
2,_TOTAL,1995,355985
2,_TOTAL,1996,356200
2,_TOTAL,1997,352890
2,_TOTAL,1998,358545
2,_TOTAL,1999,361395
2,_TOTAL,2000,377415
2,_TOTAL,2001,374295
2,_TOTAL,2002,368330
2,_TOTAL,2003,367160
2,_TOTAL,2004,368320
2,_TOTAL,2005,371090
1,ABDELLAH,1950,5
1,ABDELLAH,1952,5
1,ABDELLAH,1954,5
1,ABDELLAH,1955,5
1,ABDELLAH,1957,10
1,ABDELLAH,1958,5
1,ABDELLAH,1960,10
1,ABDELLAH,1961,15
1,ABDELLAH,1962,10
1,ABDELLAH,1963,10
1,ABDELLAH,1964,10
1,ABDELLAH,1965,15
1,ABDELLAH,1966,15
1,ABDELLAH,1967,20
1,ABDELLAH,1968,15
1,ABDELLAH,1969,30
1,ABDELLAH,1970,25
1,ABDELLAH,1971,30
1,ABDELLAH,1972,35
1,ABDELLAH,1973,45
1,ABDELLAH,1974,45
1,ABDELLAH,1975,40
1,ABDELLAH,1976,45
1,ABDELLAH,1977,40
1,ABDELLAH,1978,45
1,ABDELLAH,1979,45
1,ABDELLAH,1980,45
1,ABDELLAH,1981,60
1,ABDELLAH,1982,50
1,ABDELLAH,1983,50
1,ABDELLAH,1984,60
1,ABDELLAH,1985,70
1,ABDELLAH,1986,55
1,ABDELLAH,1987,50
1,ABDELLAH,1988,50
1,ABDELLAH,1989,40
1,ABDELLAH,1990,40
1,ABDELLAH,1991,35
1,ABDELLAH,1992,35
1,ABDELLAH,1993,35
1,ABDELLAH,1994,40
1,ABDELLAH,1995,40
1,ABDELLAH,1996,30
1,ABDELLAH,1997,40
1,ABDELLAH,1998,35
1,ABDELLAH,1999,25
1,ABDELLAH,2000,45
1,ABDELLAH,2001,45
1,ABDELLAH,2002,35
1,ABDELLAH,2003,60
1,ABDELLAH,2004,45
1,ABDELLAH,2005,55
1,ADONIS,1943,5
1,ADONIS,1952,5
1,ADONIS,1954,5
1,ADONIS,1962,5
1,ADONIS,1967,5
1,ADONIS,1968,5
1,ADONIS,1970,5
1,ADONIS,1972,5
1,ADONIS,1974,5
1,ADONIS,1977,5
1,ADONIS,1978,5
1,ADONIS,1979,5
1,ADONIS,1982,5
1,ADONIS,1983,5
1,ADONIS,1984,5
1,ADONIS,1985,5
1,ADONIS,1986,5
1,ADONIS,1987,5
1,ADONIS,1989,5
1,ADONIS,1990,5
1,ADONIS,1991,5
1,ADONIS,1992,10
1,ADONIS,1993,5
1,ADONIS,1994,10
1,ADONIS,1995,10
1,ADONIS,1996,10
1,ADONIS,1997,5
1,ADONIS,1998,10
1,ADONIS,1999,20
1,ADONIS,2000,25
1,ADONIS,2001,20
1,ADONIS,2002,30
1,ADONIS,2003,35
1,ADONIS,2004,40
1,ADONIS,2005,60
1,ADRIEN,1943,175
1,ADRIEN,1945,165
1,ADRIEN,1946,195
1,ADRIEN,1947,185
1,ADRIEN,1950,180
1,ADRIEN,1951,170
1,ADRIEN,1952,175
1,ADRIEN,1953,170
1,ADRIEN,1954,155
1,ADRIEN,1955,145
1,ADRIEN,1957,95
1,ADRIEN,1958,120
1,ADRIEN,1960,125
1,ADRIEN,1961,75
1,ADRIEN,1962,100
1,ADRIEN,1963,95
1,ADRIEN,1964,60
1,ADRIEN,1965,65
1,ADRIEN,1966,75
1,ADRIEN,1967,60
1,ADRIEN,1968,75
1,ADRIEN,1969,90
1,ADRIEN,1970,70
1,ADRIEN,1971,100
1,ADRIEN,1972,120
1,ADRIEN,1973,105
1,ADRIEN,1974,105
1,ADRIEN,1975,145
1,ADRIEN,1976,250
1,ADRIEN,1977,345
1,ADRIEN,1978,485
1,ADRIEN,1979,670
1,ADRIEN,1980,1125
1,ADRIEN,1981,1705
1,ADRIEN,1982,1770
1,ADRIEN,1983,1775
1,ADRIEN,1984,2225
1,ADRIEN,1985,3035
1,ADRIEN,1986,3680
1,ADRIEN,1987,3905
1,ADRIEN,1988,4200
1,ADRIEN,1989,4170
1,ADRIEN,1990,4220
1,ADRIEN,1991,4355
1,ADRIEN,1992,3850
1,ADRIEN,1993,3480
1,ADRIEN,1994,3915
1,ADRIEN,1995,3910
1,ADRIEN,1996,3630
1,ADRIEN,1997,3910
1,ADRIEN,1998,3615
1,ADRIEN,1999,3635
1,ADRIEN,2000,3630
1,ADRIEN,2001,3395
1,ADRIEN,2002,2855
1,ADRIEN,2003,2405
1,ADRIEN,2004,2345
1,ADRIEN,2005,2165
1,AHMAD,1964,5
1,AHMAD,1968,5
1,AHMAD,1969,5
1,AHMAD,1976,5
1,AHMAD,1977,5
1,AHMAD,1978,5
1,AHMAD,1979,5
1,AHMAD,1980,10
1,AHMAD,1981,10
1,AHMAD,1982,10
1,AHMAD,1983,5
1,AHMAD,1984,10
1,AHMAD,1985,10
1,AHMAD,1986,5
1,AHMAD,1988,10
1,AHMAD,1989,15
1,AHMAD,1990,15
1,AHMAD,1991,10
1,AHMAD,1992,15
1,AHMAD,1993,15
1,AHMAD,1994,10
1,AHMAD,1995,10
1,AHMAD,1996,15
1,AHMAD,1997,10
1,AHMAD,1998,10
1,AHMAD,1999,10
1,AHMAD,2000,15
1,AHMAD,2001,20
1,AHMAD,2002,15
1,AHMAD,2003,15
1,AHMAD,2004,20
1,AHMAD,2005,30
1,ALAIN,1943,8725
1,ALAIN,1945,11550
1,ALAIN,1946,19785
1,ALAIN,1947,22780
1,ALAIN,1950,24050
1,ALAIN,1951,23030
1,ALAIN,1952,21915
1,ALAIN,1953,21295
1,ALAIN,1954,20315
1,ALAIN,1955,19870
1,ALAIN,1957,17560
1,ALAIN,1958,16055
1,ALAIN,1960,15275
1,ALAIN,1961,14380
1,ALAIN,1962,13365
1,ALAIN,1963,13225
1,ALAIN,1964,12585
1,ALAIN,1965,11290
1,ALAIN,1966,9885
1,ALAIN,1967,9025
1,ALAIN,1968,7670
1,ALAIN,1969,6650
1,ALAIN,1970,5120
1,ALAIN,1971,4320
1,ALAIN,1972,3320
1,ALAIN,1973,2535
1,ALAIN,1974,1960
1,ALAIN,1975,1540
1,ALAIN,1976,1250
1,ALAIN,1977,1115
1,ALAIN,1978,930
1,ALAIN,1979,905
1,ALAIN,1980,905
1,ALAIN,1981,835
1,ALAIN,1982,740
1,ALAIN,1983,685
1,ALAIN,1984,590
1,ALAIN,1985,600
1,ALAIN,1986,540
1,ALAIN,1987,435
1,ALAIN,1988,400
1,ALAIN,1989,345
1,ALAIN,1990,330
1,ALAIN,1991,310
1,ALAIN,1992,270
1,ALAIN,1993,225
1,ALAIN,1994,215
1,ALAIN,1995,210
1,ALAIN,1996,155
1,ALAIN,1997,135
1,ALAIN,1998,120
1,ALAIN,1999,110
1,ALAIN,2000,150
1,ALAIN,2001,130
1,ALAIN,2002,95
1,ALAIN,2003,80
1,ALAIN,2004,85
1,ALAIN,2005,75
1,ALBAN,1943,30
1,ALBAN,1945,30
1,ALBAN,1946,30
1,ALBAN,1947,50
1,ALBAN,1950,55
1,ALBAN,1951,45
1,ALBAN,1952,50
1,ALBAN,1953,45
1,ALBAN,1954,45
1,ALBAN,1955,45
1,ALBAN,1957,45
1,ALBAN,1958,50
1,ALBAN,1960,55
1,ALBAN,1961,60
1,ALBAN,1962,70
1,ALBAN,1963,65
1,ALBAN,1964,70
1,ALBAN,1965,75
1,ALBAN,1966,90
1,ALBAN,1967,110
1,ALBAN,1968,125
1,ALBAN,1969,135
1,ALBAN,1970,170
1,ALBAN,1971,205
1,ALBAN,1972,310
1,ALBAN,1973,340
1,ALBAN,1974,415
1,ALBAN,1975,320
1,ALBAN,1976,350
1,ALBAN,1977,420
1,ALBAN,1978,415
1,ALBAN,1979,400
1,ALBAN,1980,415
1,ALBAN,1981,405
1,ALBAN,1982,410
1,ALBAN,1983,405
1,ALBAN,1984,480
1,ALBAN,1985,440
1,ALBAN,1986,520
1,ALBAN,1987,525
1,ALBAN,1988,540
1,ALBAN,1989,470
1,ALBAN,1990,390
1,ALBAN,1991,410
1,ALBAN,1992,380
1,ALBAN,1993,375
1,ALBAN,1994,385
1,ALBAN,1995,365
1,ALBAN,1996,460
1,ALBAN,1997,440
1,ALBAN,1998,435
1,ALBAN,1999,460
1,ALBAN,2000,475
1,ALBAN,2001,515
1,ALBAN,2002,505
1,ALBAN,2003,495
1,ALBAN,2004,555
1,ALBAN,2005,635
1,ALEXANDRA,1983,5
1,ALEXANDRA,1995,5
1,ALEXANDRA,1999,5
1,ALEXANDRE,1943,245
1,ALEXANDRE,1945,210
1,ALEXANDRE,1946,300
1,ALEXANDRE,1947,300
1,ALEXANDRE,1950,265
1,ALEXANDRE,1951,240
1,ALEXANDRE,1952,235
1,ALEXANDRE,1953,225
1,ALEXANDRE,1954,260
1,ALEXANDRE,1955,230
1,ALEXANDRE,1957,255
1,ALEXANDRE,1958,270
1,ALEXANDRE,1960,300
1,ALEXANDRE,1961,320
1,ALEXANDRE,1962,345
1,ALEXANDRE,1963,435
1,ALEXANDRE,1964,495
1,ALEXANDRE,1965,630
1,ALEXANDRE,1966,735
1,ALEXANDRE,1967,840
1,ALEXANDRE,1968,1045
1,ALEXANDRE,1969,1295
1,ALEXANDRE,1970,1825
1,ALEXANDRE,1971,2140
1,ALEXANDRE,1972,3085
1,ALEXANDRE,1973,3200
1,ALEXANDRE,1974,3405
1,ALEXANDRE,1975,4070
1,ALEXANDRE,1976,4485
1,ALEXANDRE,1977,4940
1,ALEXANDRE,1978,5215
1,ALEXANDRE,1979,6160
1,ALEXANDRE,1980,6995
1,ALEXANDRE,1981,7025
1,ALEXANDRE,1982,7195
1,ALEXANDRE,1983,6320
1,ALEXANDRE,1984,6075
1,ALEXANDRE,1985,6935
1,ALEXANDRE,1986,8735
1,ALEXANDRE,1987,8220
1,ALEXANDRE,1988,8245
1,ALEXANDRE,1989,8315
1,ALEXANDRE,1990,8360
1,ALEXANDRE,1991,8875
1,ALEXANDRE,1992,8775
1,ALEXANDRE,1993,8950
1,ALEXANDRE,1994,8820
1,ALEXANDRE,1995,9010
1,ALEXANDRE,1996,8865
1,ALEXANDRE,1997,8195
1,ALEXANDRE,1998,7510
1,ALEXANDRE,1999,6945
1,ALEXANDRE,2000,6365
1,ALEXANDRE,2001,5540
1,ALEXANDRE,2002,5030
1,ALEXANDRE,2003,5105
1,ALEXANDRE,2004,4150
1,ALEXANDRE,2005,4085
1,ALEXIS,1943,130
1,ALEXIS,1945,110
1,ALEXIS,1946,140
1,ALEXIS,1947,160
1,ALEXIS,1950,135
1,ALEXIS,1951,115
1,ALEXIS,1952,115
1,ALEXIS,1953,100
1,ALEXIS,1954,100
1,ALEXIS,1955,110
1,ALEXIS,1957,115
1,ALEXIS,1958,105
1,ALEXIS,1960,165
1,ALEXIS,1961,145
1,ALEXIS,1962,175
1,ALEXIS,1963,205
1,ALEXIS,1964,220
1,ALEXIS,1965,275
1,ALEXIS,1966,285
1,ALEXIS,1967,330
1,ALEXIS,1968,350
1,ALEXIS,1969,455
1,ALEXIS,1970,510
1,ALEXIS,1971,590
1,ALEXIS,1972,680
1,ALEXIS,1973,635
1,ALEXIS,1974,655
1,ALEXIS,1975,695
1,ALEXIS,1976,735
1,ALEXIS,1977,870
1,ALEXIS,1978,920
1,ALEXIS,1979,1030
1,ALEXIS,1980,1295
1,ALEXIS,1981,1235
1,ALEXIS,1982,1310
1,ALEXIS,1983,1480
1,ALEXIS,1984,1630
1,ALEXIS,1985,1845
1,ALEXIS,1986,2040
1,ALEXIS,1987,2315
1,ALEXIS,1988,2435
1,ALEXIS,1989,3055
1,ALEXIS,1990,3745
1,ALEXIS,1991,3810
1,ALEXIS,1992,4420
1,ALEXIS,1993,4605
1,ALEXIS,1994,4865
1,ALEXIS,1995,5510
1,ALEXIS,1996,5830
1,ALEXIS,1997,5655
1,ALEXIS,1998,5470
1,ALEXIS,1999,5260
1,ALEXIS,2000,5575
1,ALEXIS,2001,5255
1,ALEXIS,2002,4570
1,ALEXIS,2003,4480
1,ALEXIS,2004,4255
1,ALEXIS,2005,3865
1,ALI,1943,20
1,ALI,1945,45
1,ALI,1946,85
1,ALI,1947,85
1,ALI,1950,105
1,ALI,1951,135
1,ALI,1952,135
1,ALI,1953,150
1,ALI,1954,165
1,ALI,1955,180
1,ALI,1957,185
1,ALI,1958,200
1,ALI,1960,250
1,ALI,1961,305
1,ALI,1962,290
1,ALI,1963,305
1,ALI,1964,365
1,ALI,1965,400
1,ALI,1966,400
1,ALI,1967,395
1,ALI,1968,360
1,ALI,1969,355
1,ALI,1970,370
1,ALI,1971,380
1,ALI,1972,370
1,ALI,1973,390
1,ALI,1974,375
1,ALI,1975,375
1,ALI,1976,360
1,ALI,1977,370
1,ALI,1978,350
1,ALI,1979,370
1,ALI,1980,395
1,ALI,1981,415
1,ALI,1982,430
1,ALI,1983,410
1,ALI,1984,420
1,ALI,1985,410
1,ALI,1986,355
1,ALI,1987,310
1,ALI,1988,320
1,ALI,1989,335
1,ALI,1990,315
1,ALI,1991,305
1,ALI,1992,310
1,ALI,1993,280
1,ALI,1994,310
1,ALI,1995,275
1,ALI,1996,255
1,ALI,1997,230
1,ALI,1998,265
1,ALI,1999,310
1,ALI,2000,295
1,ALI,2001,350
1,ALI,2002,365
1,ALI,2003,390
1,ALI,2004,400
1,ALI,2005,385
1,ALIX,1943,25
1,ALIX,1945,25
1,ALIX,1946,35
1,ALIX,1947,50
1,ALIX,1950,35
1,ALIX,1951,35
1,ALIX,1952,50
1,ALIX,1953,40
1,ALIX,1954,45
1,ALIX,1955,50
1,ALIX,1957,40
1,ALIX,1958,35
1,ALIX,1960,40
1,ALIX,1961,45
1,ALIX,1962,55
1,ALIX,1963,65
1,ALIX,1964,50
1,ALIX,1965,30
1,ALIX,1966,30
1,ALIX,1967,50
1,ALIX,1968,35
1,ALIX,1969,40
1,ALIX,1970,30
1,ALIX,1971,30
1,ALIX,1972,30
1,ALIX,1973,40
1,ALIX,1974,40
1,ALIX,1975,40
1,ALIX,1976,30
1,ALIX,1977,20
1,ALIX,1978,40
1,ALIX,1979,45
1,ALIX,1980,30
1,ALIX,1981,50
1,ALIX,1982,40
1,ALIX,1983,55
1,ALIX,1984,60
1,ALIX,1985,70
1,ALIX,1986,70
1,ALIX,1987,105
1,ALIX,1988,100
1,ALIX,1989,95
1,ALIX,1990,85
1,ALIX,1991,95
1,ALIX,1992,105
1,ALIX,1993,110
1,ALIX,1994,95
1,ALIX,1995,100
1,ALIX,1996,110
1,ALIX,1997,125
1,ALIX,1998,140
1,ALIX,1999,155
1,ALIX,2000,135
1,ALIX,2001,160
1,ALIX,2002,185
1,ALIX,2003,185
1,ALIX,2004,230
1,ALIX,2005,215
1,ALLAN,1946,5
1,ALLAN,1951,5
1,ALLAN,1952,5
1,ALLAN,1954,10
1,ALLAN,1955,10
1,ALLAN,1957,5
1,ALLAN,1960,10
1,ALLAN,1961,5
1,ALLAN,1962,10
1,ALLAN,1964,5
1,ALLAN,1965,5
1,ALLAN,1966,10
1,ALLAN,1967,5
1,ALLAN,1969,5
1,ALLAN,1970,5
1,ALLAN,1971,10
1,ALLAN,1972,10
1,ALLAN,1973,20
1,ALLAN,1974,40
1,ALLAN,1975,40
1,ALLAN,1976,65
1,ALLAN,1977,60
1,ALLAN,1978,70
1,ALLAN,1979,95
1,ALLAN,1980,115
1,ALLAN,1981,115
1,ALLAN,1982,180
1,ALLAN,1983,135
1,ALLAN,1984,150
1,ALLAN,1985,160
1,ALLAN,1986,190
1,ALLAN,1987,245
1,ALLAN,1988,360
1,ALLAN,1989,420
1,ALLAN,1990,565
1,ALLAN,1991,515
1,ALLAN,1992,580
1,ALLAN,1993,570
1,ALLAN,1994,580
1,ALLAN,1995,695
1,ALLAN,1996,715
1,ALLAN,1997,750
1,ALLAN,1998,1365
1,ALLAN,1999,1290
1,ALLAN,2000,1035
1,ALLAN,2001,850
1,ALLAN,2002,805
1,ALLAN,2003,655
1,ALLAN,2004,570
1,ALLAN,2005,595
1,ALÉXIS,1989,5
1,ALÉXIS,1996,10
1,ALÉXIS,1997,5
1,ALÉXIS,1998,10
1,ALÉXIS,1999,5
1,AMBRE,1993,5
1,AMBRE,1997,5
1,AMBRE,1999,10
1,AMBRE,2002,5
1,AMBRE,2003,5
1,AMBRE,2005,5
1,AMEL,1971,5
1,AMEL,1972,5
1,AMEL,1973,5
1,AMEL,1975,5
1,AMEL,1980,5
1,AMEL,1983,5
1,AMEL,1993,5
1,AMEL,1998,5
1,AMEL,1999,5
1,AMEL,2002,5
1,AMEL,2003,5
1,AMEL,2004,5
1,AMEL,2005,5
1,AMIR,1963,5
1,AMIR,1965,5
1,AMIR,1966,5
1,AMIR,1969,5
1,AMIR,1970,10
1,AMIR,1971,10
1,AMIR,1972,5
1,AMIR,1973,10
1,AMIR,1974,10
1,AMIR,1975,5
1,AMIR,1976,15
1,AMIR,1977,20
1,AMIR,1978,20
1,AMIR,1979,25
1,AMIR,1980,35
1,AMIR,1981,40
1,AMIR,1982,45
1,AMIR,1983,35
1,AMIR,1984,40
1,AMIR,1985,60
1,AMIR,1986,50
1,AMIR,1987,45
1,AMIR,1988,55
1,AMIR,1989,55
1,AMIR,1990,75
1,AMIR,1991,55
1,AMIR,1992,85
1,AMIR,1993,95
1,AMIR,1994,100
1,AMIR,1995,90
1,AMIR,1996,105
1,AMIR,1997,95
1,AMIR,1998,90
1,AMIR,1999,120
1,AMIR,2000,145
1,AMIR,2001,110
1,AMIR,2002,135
1,AMIR,2003,170
1,AMIR,2004,205
1,AMIR,2005,220
1,AMRI,2003,5
1,AMÉLIE,1950,5
1,AMÉLIE,1952,5
1,AMÉLIE,1957,5
1,ANDREA,1988,5
1,ANDREA,1991,5
1,ANDREA,1995,5
1,ANDREA,1997,5
1,ANDREA,1998,5
1,ANDREA,2003,10
1,ANDREA,2004,10
1,ANDRÉ,1943,10235
1,ANDRÉ,1945,9350
1,ANDRÉ,1946,13205
1,ANDRÉ,1947,12025
1,ANDRÉ,1950,9660
1,ANDRÉ,1951,8825
1,ANDRÉ,1952,7415
1,ANDRÉ,1953,6800
1,ANDRÉ,1954,6245
1,ANDRÉ,1955,5730
1,ANDRÉ,1957,4860
1,ANDRÉ,1958,4225
1,ANDRÉ,1960,4005
1,ANDRÉ,1961,3775
1,ANDRÉ,1962,3155
1,ANDRÉ,1963,2820
1,ANDRÉ,1964,2570
1,ANDRÉ,1965,2165
1,ANDRÉ,1966,1790
1,ANDRÉ,1967,1555
1,ANDRÉ,1968,1395
1,ANDRÉ,1969,1210
1,ANDRÉ,1970,985
1,ANDRÉ,1971,905
1,ANDRÉ,1972,715
1,ANDRÉ,1973,595
1,ANDRÉ,1974,470
1,ANDRÉ,1975,370
1,ANDRÉ,1976,315
1,ANDRÉ,1977,310
1,ANDRÉ,1978,295
1,ANDRÉ,1979,305
1,ANDRÉ,1980,350
1,ANDRÉ,1981,335
1,ANDRÉ,1982,285
1,ANDRÉ,1983,245
1,ANDRÉ,1984,280
1,ANDRÉ,1985,245
1,ANDRÉ,1986,245
1,ANDRÉ,1987,225
1,ANDRÉ,1988,235
1,ANDRÉ,1989,175
1,ANDRÉ,1990,190
1,ANDRÉ,1991,165
1,ANDRÉ,1992,165
1,ANDRÉ,1993,180
1,ANDRÉ,1994,190
1,ANDRÉ,1995,185
1,ANDRÉ,1996,150
1,ANDRÉ,1997,150
1,ANDRÉ,1998,160
1,ANDRÉ,1999,140
1,ANDRÉ,2000,145
1,ANDRÉ,2001,130
1,ANDRÉ,2002,140
1,ANDRÉ,2003,100
1,ANDRÉ,2004,110
1,ANDRÉ,2005,120
1,ANDRÉA,1953,5
1,ANDRÉA,1954,5
1,ANDRÉA,1957,5
1,ANDRÉA,1958,5
1,ANDRÉA,1960,5
1,ANDRÉA,1961,10
1,ANDRÉA,1962,5
1,ANDRÉA,1963,5
1,ANDRÉA,1964,10
1,ANDRÉA,1965,15
1,ANDRÉA,1966,5
1,ANDRÉA,1967,15
1,ANDRÉA,1968,15
1,ANDRÉA,1969,5
1,ANDRÉA,1970,5
1,ANDRÉA,1971,10
1,ANDRÉA,1972,5
1,ANDRÉA,1973,10
1,ANDRÉA,1974,5
1,ANDRÉA,1975,5
1,ANDRÉA,1976,10
1,ANDRÉA,1977,5
1,ANDRÉA,1978,5
1,ANDRÉA,1979,5
1,ANDRÉA,1980,5
1,ANDRÉA,1981,5
1,ANDRÉA,1982,5
1,ANDRÉA,1983,5
1,ANDRÉA,1984,15
1,ANDRÉA,1985,30
1,ANDRÉA,1986,35
1,ANDRÉA,1987,50
1,ANDRÉA,1988,55
1,ANDRÉA,1989,75
1,ANDRÉA,1990,60
1,ANDRÉA,1991,130
1,ANDRÉA,1992,105
1,ANDRÉA,1993,120
1,ANDRÉA,1994,140
1,ANDRÉA,1995,100
1,ANDRÉA,1996,95
1,ANDRÉA,1997,145
1,ANDRÉA,1998,220
1,ANDRÉA,1999,175
1,ANDRÉA,2000,150
1,ANDRÉA,2001,145
1,ANDRÉA,2002,150
1,ANDRÉA,2003,200
1,ANDRÉA,2004,215
1,ANDRÉA,2005,305
1,ANTHONY,1943,5
1,ANTHONY,1946,10
1,ANTHONY,1947,5
1,ANTHONY,1950,5
1,ANTHONY,1951,5
1,ANTHONY,1952,10
1,ANTHONY,1953,15
1,ANTHONY,1954,20
1,ANTHONY,1955,20
1,ANTHONY,1957,20
1,ANTHONY,1958,25
1,ANTHONY,1960,35
1,ANTHONY,1961,40
1,ANTHONY,1962,50
1,ANTHONY,1963,45
1,ANTHONY,1964,40
1,ANTHONY,1965,60
1,ANTHONY,1966,75
1,ANTHONY,1967,100
1,ANTHONY,1968,230
1,ANTHONY,1969,525
1,ANTHONY,1970,825
1,ANTHONY,1971,1060
1,ANTHONY,1972,1305
1,ANTHONY,1973,1510
1,ANTHONY,1974,1955
1,ANTHONY,1975,2110
1,ANTHONY,1976,2300
1,ANTHONY,1977,2770
1,ANTHONY,1978,2850
1,ANTHONY,1979,3530
1,ANTHONY,1980,4360
1,ANTHONY,1981,4410
1,ANTHONY,1982,5165
1,ANTHONY,1983,5505
1,ANTHONY,1984,6450
1,ANTHONY,1985,8055
1,ANTHONY,1986,7980
1,ANTHONY,1987,8060
1,ANTHONY,1988,9070
1,ANTHONY,1989,8270
1,ANTHONY,1990,8090
1,ANTHONY,1991,7725
1,ANTHONY,1992,7190
1,ANTHONY,1993,6175
1,ANTHONY,1994,6035
1,ANTHONY,1995,5930
1,ANTHONY,1996,5685
1,ANTHONY,1997,4965
1,ANTHONY,1998,4375
1,ANTHONY,1999,4055
1,ANTHONY,2000,3845
1,ANTHONY,2001,3375
1,ANTHONY,2002,2665
1,ANTHONY,2003,2280
1,ANTHONY,2004,1885
1,ANTHONY,2005,1535
1,ANTOINE,1943,965
1,ANTOINE,1945,890
1,ANTOINE,1946,1085
1,ANTOINE,1947,1035
1,ANTOINE,1950,1190
1,ANTOINE,1951,1175
1,ANTOINE,1952,1150
1,ANTOINE,1953,1070
1,ANTOINE,1954,1065
1,ANTOINE,1955,1080
1,ANTOINE,1957,1245
1,ANTOINE,1958,1230
1,ANTOINE,1960,1410
1,ANTOINE,1961,1525
1,ANTOINE,1962,1490
1,ANTOINE,1963,1495
1,ANTOINE,1964,1525
1,ANTOINE,1965,1560
1,ANTOINE,1966,1310
1,ANTOINE,1967,1000
1,ANTOINE,1968,900
1,ANTOINE,1969,1040
1,ANTOINE,1970,1125
1,ANTOINE,1971,1250
1,ANTOINE,1972,1125
1,ANTOINE,1973,1280
1,ANTOINE,1974,1335
1,ANTOINE,1975,1320
1,ANTOINE,1976,1380
1,ANTOINE,1977,1745
1,ANTOINE,1978,1870
1,ANTOINE,1979,2015
1,ANTOINE,1980,2335
1,ANTOINE,1981,2515
1,ANTOINE,1982,2720
1,ANTOINE,1983,2685
1,ANTOINE,1984,2785
1,ANTOINE,1985,3030
1,ANTOINE,1986,3185
1,ANTOINE,1987,3855
1,ANTOINE,1988,4170
1,ANTOINE,1989,4080
1,ANTOINE,1990,4515
1,ANTOINE,1991,4860
1,ANTOINE,1992,5135
1,ANTOINE,1993,5310
1,ANTOINE,1994,6155
1,ANTOINE,1995,6325
1,ANTOINE,1996,6745
1,ANTOINE,1997,6360
1,ANTOINE,1998,6115
1,ANTOINE,1999,6055
1,ANTOINE,2000,5970
1,ANTOINE,2001,5665
1,ANTOINE,2002,5085
1,ANTOINE,2003,4615
1,ANTOINE,2004,4000
1,ANTOINE,2005,3905
1,ANTONIN,1943,50
1,ANTONIN,1945,40
1,ANTONIN,1946,55
1,ANTONIN,1947,55
1,ANTONIN,1950,35
1,ANTONIN,1951,30
1,ANTONIN,1952,25
